# id	name	entry	idglob	caller	site
232	music_volume	1433922B8	142ADED10	1400831C0	140087211
233	scroll_speed	143392300	142ADED30	1400831C0	14008724A
234	camera_rotation_speed	143392348	142ADED4C	1400831C0	140087283
235	zoom_speed	143392390	142ADED6C	1400831C0	1400872BC
236	mouse_speed	1433923D8	142ADED90	1400831C0	1400872F5
237	master_volume	143392420	142ADEDB0	1400831C0	14008732E
238	version	143392468	142ADEDCC	1400831C0	140087367
239	executable	1433924B0	142ADEDF0	1400831C0	1400873A0
240	data	1433924F8	142ADEE10	1400831C0	1400873D9
241	animatedType	143392588	142ADEE50	1400831C0	14008744B
242	requeststartown	1433925D0	142ADEE6C	1400831C0	140087484
243	startown	143392618	142ADEE8C	1400831C0	1400874BD
244	changeowner	143392660	142ADEEB0	1400831C0	1400874F6
245	newowner	1433926A8	142ADEED0	1400831C0	14008752F
246	vsync	1433926F0	142ADEEEC	1400831C0	140087568
247	debugmonitor	143392738	142ADEF10	1400831C0	1400875A1
248	debug	143392780	142ADEF30	1400831C0	1400875DA
249	pdxa	1433927C8	142ADEF50	1400831C0	140087613
250	versionName	143392810	142ADEF70	1400831C0	14008764C
251	frames	143392858	142ADEF8C	1400831C0	140087685
252	frame	1433928A0	142ADEFB0	1400831C0	1400876BE
253	stance	1433928E8	142ADEFCC	1400831C0	1400876F7
254	indices	143392930	142ADEFEC	1400831C0	140087730
255	noOfTriangles	143392978	142ADF010	1400831C0	140087769
256	noOfVertices	1433929C0	142ADF02C	1400831C0	1400877A2
257	vertices	143392A08	142ADF04C	1400831C0	1400877DB
258	l_italian	143392A50	142ADF070	1400831C0	140087814
259	l_spanish	143392A98	142ADF090	1400831C0	14008784D
260	l_polish	143392AE0	142ADF0AC	1400831C0	140087886
261	textblock	143392B28	142ADF0CC	1400831C0	1400878BF
262	systemmessage	143392B70	142ADF0F0	1400831C0	1400878F8
263	personalmessage	143392BB8	142ADF110	1400831C0	140087931
264	requestusersgames	143392C00	142ADF12C	1400831C0	14008796A
265	requestgame	143392C48	142ADF14C	1400831C0	1400879A3
266	sendgame	143392C90	142ADF16C	1400831C0	1400879DC
267	bodytexture	143392CD8	142ADF190	1400831C0	140087A15
268	colortwo	143392D20	142ADF1AC	1400831C0	140087A4E
269	static	143392D68	142ADF1D0	1400831C0	140087A87
270	animatedmaptext	143392DB0	142ADF1EC	1400831C0	140087AC0
271	maskedShieldType	143392DF8	142ADF210	1400831C0	140087AF9
272	spacing	143392E40	142ADF230	1400831C0	140087B32
273	membername	143392E88	142ADF250	1400831C0	140087B6B
274	progressbartype	143392ED0	142ADF270	1400831C0	140087BA4
275	transparencecheck	143392F18	142ADF28C	1400831C0	140087BDD
276	soundeffect	143392F60	142ADF2AC	1400831C0	140087C16
277	pitch	143392FA8	142ADF2D0	1400831C0	140087C4F
278	pan	143392FF0	142ADF2F0	1400831C0	140087C88
279	voicetype	143393038	142ADF30C	1400831C0	140087CC1
280	soundeffects	143393080	142ADF330	1400831C0	140087CFA
281	upsound	1433930C8	142ADF350	1400831C0	140087D33
282	downsound	143393110	142ADF370	1400831C0	140087D6C
283	oversound	143393158	142ADF390	1400831C0	140087DA5
284	clicksound	1433931A0	142ADF3AC	1400831C0	140087DDE
285	lockable	1433931E8	142ADF3CC	1400831C0	140087E17
286	drag	143393230	142ADF3EC	1400831C0	140087E50
287	volume	143393278	142ADF410	1400831C0	140087E89
288	instantTextBoxType	1433932C0	142ADF430	1400831C0	140087EC2
289	shortcut	143393308	142ADF44C	1400831C0	140087EFB
290	writetochatbuffer	143393350	142ADF46C	1400831C0	140087F34
291	chatbuffer	143393398	142ADF490	1400831C0	140087F6D
292	chatmessage	1433933E0	142ADF4B0	1400831C0	140087FA6
293	loadType	143393428	142ADF4CC	1400831C0	140087FDF
294	norefcount	143393470	142ADF4EC	1400831C0	140088018
295	bitmapfont	1433934B8	142ADF510	1400831C0	140088051
296	bitmapfonts	143393500	142ADF530	1400831C0	14008808A
297	colorcodes	143393548	142ADF550	1400831C0	1400880C3
298	progressbar3dType	143393590	142ADF570	1400831C0	1400880FC
299	countrychat	1433935D8	142ADF590	1400831C0	140088135
300	locatorname	143393620	142ADF5AC	1400831C0	14008816E
301	locatormatrix	143393668	142ADF5D0	1400831C0	1400881A7
302	adapter	1433936B0	142ADF5EC	1400831C0	1400881E0
303	gunSmoke	1433936F8	142ADF60C	1400831C0	140088219
304	EffectStartFrame	143393740	142ADF630	1400831C0	140088252
305	starttransfer	143393788	142ADF64C	1400831C0	14008828B
306	sendchunk	1433937D0	142ADF670	1400831C0	1400882C4
307	chunkreceived	143393818	142ADF690	1400831C0	1400882FD
308	ledger_data	143393860	142ADF6B0	1400831C0	140088336
309	ledger_data_x	1433938A8	142ADF6CC	1400831C0	14008836F
310	ledger_data_y	1433938F0	142ADF6F0	1400831C0	1400883A8
311	income_statistics	143393938	142ADF70C	1400831C0	1400883E1
312	nation_size_statistics	143393980	142ADF72C	1400831C0	14008841A
313	inflation_statistics	1433939C8	142ADF750	1400831C0	140088453
314	offset	143393A10	142ADF770	1400831C0	14008848C
315	multisampling	143393A58	142ADF790	1400831C0	1400884C5
316	anisotropicFiltering	143393AA0	142ADF7AC	1400831C0	1400884FE
317	upper	143393AE8	142ADF7CC	1400831C0	140088537
318	lower	143393B30	142ADF7F0	1400831C0	140088570
319	allwaystransparent	143393B78	142ADF810	1400831C0	1400885A9
320	threeDguiType	143393C08	142ADF84C	1400831C0	14008861B
321	shadowSize	143393C50	142ADF86C	1400831C0	140088654
322	ambient_volume	143393C98	142ADF890	1400831C0	14008868D
323	luafunction_buttonclick	143393CE0	142ADF8B0	1400831C0	1400886C6
324	l_czech	143393D28	142ADF8CC	1400831C0	1400886FF
325	l_hungarian	143393D70	142ADF8F0	1400831C0	140088738
326	l_dutch	143393DB8	142ADF910	1400831C0	140088771
327	l_portugese	143393E00	142ADF92C	1400831C0	1400887AA
328	l_russian	143393E48	142ADF94C	1400831C0	1400887E3
