# CPersistent family 1.19.3 — fingerprint slot1=0x1424BEC50 & slot3=0x1424BE690
# class	vtable	writer[2]	reader[4]	slots(到下一RTTI表距离,非定案)
CCountryCollaborationData	0x1429bcc18	0x1413f5c70	0x1413f53a0	9
CCountryCollaborationStatus	0x1429bcc68	0x1413f5c90	0x1413f53c0	242
CCountryColors	0x142721590	0x14012a2c0	0x14070abf0	9
CCountryDecryptionState	0x1429bd400	0x1413f9060	0x1413f8ca0	9
CCountryExperienceStatus	0x1429a80c0	0x1412a92b0	0x1412a8b70	53
CCountryFinishedOperations	0x1427e7528	0x1411a19a0	0x1411a0ea0	9
CCountryFuelStatus	0x14298b3a8	0x1410f8710	0x1410f7790	107
CCountryHistory	0x1429d5d18	0x141540ff0	0x141540190	20
CCountryHistoryEntry	0x1429d5880	0x141541190	0x1415403c0	20
CCountryIntelNetwork	0x1429a1a58	0x1411d6c40	0x1411d5ed0	9
CCountryLeader	0x142981350	0x140fcc690	0x140fcbda0	12
CCountryLeaderTemplate	0x1429bcbc8	0x14012a2c0	0x1413f35f0	9
CCountryLeaderTrait	0x1427ea648	0x14012a2c0	0x14071fc50	9
CCountryManpower	0x14295eb90	0x140cfe9d0	0x140cfe610	9
CCountryNames	0x14293e258	0x14012a2c0	0x140a6b500	9
CCountryOccupationData	0x142984928	0x140fff910	0x140ffa320	9
CCountryOccupationStatus	0x1429849b0	0x141000120	0x140ffb2d0	71
CCountryOperationManager	0x1427e7578	0x1411a2690	0x1411a1110	290
CCountryOperationTokenManager	0x1429beba8	0x141407f90	0x141406f20	62
CCountryPlayerSettings	0x1427e7180	0x1414e7670	0x1414e7110	9
CCountryPortraits	0x14293fd10	0x14012a2c0	0x140a88ee0	9
CCountryReportsManager	0x1429d10a8	0x1414fb590	0x1414faf60	15
CCountryResources	0x14295c4e8	0x140cbe2d0	0x140cb7610	52
CCountryScorerEntry	0x142941458	0x14012a2c0	0x140aa4060	12
CCountrySupplySystem	0x1429a2b08	0x1412318a0	0x14122d890	9
CCountryTagAliasEntry	0x1427ea8d0	0x14012a2c0	0x1407214a0	41
CCreateAreaDefenseCommand	0x142a0c8a8	0x14226a110	0x142269e60	24
CCreateConveyorCommand	0x142a483c0	0x14226a110	0x142269e60	24
CCreateConveyorExtendedCommand	0x142a48488	0x14226a110	0x142269e60	24
CCreateDivisionTemplateCommand	0x1429abd00	0x14226a110	0x142269e60	24
CCreateEquipmentVariantCommand	0x142a240c0	0x14226a110	0x142269e60	24
CCreateEquipmentVariantScheduler	0x1429706b8	0x141a00af0	0x141a00670	9
CCreateEquipmentVariantSpec	0x1427c1b48	0x141463a90	0x141463770	9
CCreateFactionCommand	0x142995260	0x14226a110	0x142269e60	24
CCreateFleetCommand	0x1429afb38	0x14226a110	0x142269e60	24
CCreateOperationCommand	0x142978310	0x14226a110	0x142269e60	24
CCreateTradeCommand	0x142a49150	0x14226a110	0x142269e60	238
CCreateUnitLeaderCommand	0x1429962c8	0x14226a110	0x142269e60	24
CCryptology	0x1429bd450	0x1413f9120	0x1413f8d40	283
CCurrentAutonomyStatus	0x1427e3870	0x14067aa30	0x1406791c0	168
CCurrentGameState	0x142721158	0x1401f29a0	0x1401e59d0	14
CCustomMapMode	0x1427eaa20	0x14012a2c0	0x140722370	10
CCustomizableBuildingCollection	0x1427e7418	0x141511720	0x141511280	13
CCustomizableBuildingItem	0x1429d24b8	0x1415c1160	0x1415c0d00	11
CDLCDescriptor	0x142af85c0	0x14207d230	0x14207ae90	428
CDecisionCategory	0x1427eb330	0x14012a2c0	0x1407332b0	22
CDecisionCategory::CCustomIcon	0x1427eb290	0x14012a2c0	0x1407326c0	19
CDecisionCooldown	0x1427eb450	0x140738a50	0x1407337f0	12
CDecisionStatus	0x1427eb5c0	0x140738aa0	0x140733a20	9
CDeclareWarAction	0x14298b820	0x141141400	0x14113e710	67
CDecreaseGameSpeedCommand	0x142977108	0x14226a110	0x142269e60	24
CDedicatedServer	0x142720ee8	0x140bbc970	0x140bbc7f0	12
CDelayedEvent	0x1427e7488	0x141181300	0x141180910	9
CDeleteAirWingCommand	0x142a1df98	0x14226a110	0x142269e60	24
CDeleteOperationCommand	0x1429783d8	0x14226a110	0x142269e60	24
CDeleteOrderGroupCommand	0x142a0abc0	0x14226a110	0x142269e60	24
CDeleteShipCommand	0x1429b2910	0x14226a110	0x142269e60	24
CDeleteUnitCommand	0x1429b2140	0x14226a110	0x142269e60	24
CDemilitarizedZoneTimedEffect	0x1429dc140	0x1415a8e90	0x1415a8bb0	19
CDeployAirWingCommand	0x142995198	0x14226a110	0x142269e60	24
CDeployArmyHqCommand	0x1429b2398	0x14226a110	0x142269e60	24
CDeployConveyorCommand	0x142a48ac8	0x14226a110	0x142269e60	24
CDeployConveyorLineCommand	0x142a48de8	0x14226a110	0x142269e60	24
CDeploymentStatus	0x14295fc38	0x140d14650	0x140d12330	97
CDetachAirWingFromArmyCommand	0x142a1e2b8	0x14226a110	0x142269e60	24
CDifficultySetting	0x142935978	0x14012a2c0	0x1409b8e90	9
CDifficultySettingItem	0x1427215e0	0x1409b9490	0x1409b91b0	9
CDiplomacyStatus	0x142961ce8	0x140d47400	0x140d41330	19
