# CPersistent family 1.19.3 — fingerprint slot1=0x1424BEC50 & slot3=0x1424BE690
# class	vtable	writer[2]	reader[4]	slots(到下一RTTI表距离,非定案)
CSetCarrierStickyMissionAreaCommand	0x142a1e060	0x14226a110	0x142269e60	24
CSetContinuousFocusCommand	0x1429966b0	0x14226a110	0x142269e60	24
CSetConveyorGroupCommand	0x142a486e0	0x14226a110	0x142269e60	24
CSetConveyorLocationCommand	0x142a48618	0x14226a110	0x142269e60	24
CSetConveyorNameCommand	0x142a48550	0x14226a110	0x142269e60	24
CSetConveyorPriorityCommand	0x142a48870	0x14226a110	0x142269e60	24
CSetConveyorSeriesCommand	0x142a48938	0x14226a110	0x142269e60	24
CSetCoopHotJoinOptions	0x1429e67d8	0x14226a110	0x142269e60	24
CSetCountryControllerCommand	0x14295e368	0x14226a110	0x142269e60	24
CSetCountryControllerTypeCommand	0x14295e688	0x14226a110	0x142269e60	49
CSetCountryGarrisonPriorityCommand	0x14272db88	0x14226a110	0x142269e60	24
CSetCountryGarrisonTemplateCommand	0x142995d50	0x14226a110	0x142269e60	24
CSetCountryOperationsPriorityCommand	0x14272dc50	0x14226a110	0x142269e60	24
CSetCountryRaidsPriorityCommand	0x14272dd18	0x14226a110	0x142269e60	24
CSetCountryReinforcementPriorityCommand	0x14272dac0	0x14226a110	0x142269e60	24
CSetCountryUpgradePriorityCommand	0x14272dde0	0x14226a110	0x142269e60	24
CSetCustomDifficultyMultiplier	0x1429e6328	0x14226a110	0x142269e60	24
CSetDLCsCommand	0x142a22f98	0x14226a110	0x142269e60	92
CSetDefaultCountryOccupationPolicyCommand	0x142995a30	0x14226a110	0x142269e60	24
CSetDeploymentLineNameCommand	0x142a48eb0	0x14226a110	0x142269e60	24
CSetDesignTeamCommand	0x142967a80	0x14226a110	0x142269e60	24
CSetDifficulty	0x1429e6260	0x14226a110	0x142269e60	24
CSetDivisionNameCommand	0x1429b22d0	0x14226a110	0x142269e60	24
CSetDivisionTemplateSymbolCommand	0x1429abb70	0x14226a110	0x142269e60	24
CSetEntityMovementEffect::CPersistentPositionSetter	0x14277a7e0	0x14012a2c0	0x1403b3fd0	9
CSetEquipmentVariantHighlightCommand	0x142a24638	0x14226a110	0x142269e60	24
CSetEquipmentVariantNameListCommand	0x142a244a8	0x14226a110	0x142269e60	24
CSetEquipmentVariantNicheIconCommand	0x142a243e0	0x14226a110	0x142269e60	24
CSetEquipmentVariantOverrideModelCommand	0x142a24250	0x14226a110	0x142269e60	24
CSetEquipmentVariantOverrideSpriteCommand	0x142a24318	0x14226a110	0x142269e60	24
CSetFleetCommand	0x1429afcc8	0x14226a110	0x142269e60	24
CSetFleetHomeBaseCommand	0x1429afd90	0x14226a110	0x142269e60	24
CSetFleetIconAndColorCommand	0x1429b0880	0x14226a110	0x142269e60	24
CSetFleetLeaderCommand	0x142a0c4c0	0x14226a110	0x142269e60	24
CSetFleetNameCommand	0x1429afc00	0x14226a110	0x142269e60	24
CSetFuelPriorityCommand	0x142996070	0x14226a110	0x142269e60	24
CSetGamePlayOptions	0x1429e6710	0x14226a110	0x142269e60	24
CSetGameRuleOption	0x1429e63f0	0x14226a110	0x142269e60	24
CSetGameSpeedCommand	0x1429771d0	0x14226a110	0x142269e60	159
CSetGameUniqueId	0x14296a308	0x14226a110	0x142269e60	24
CSetIndustrialManufacturerCommand	0x142a23280	0x14226a110	0x142269e60	24
CSetIndustrialOrgTraitsInQueueCommand	0x1429680c0	0x14226a110	0x142269e60	24
CSetIndustrialOrganisationTaskCommand	0x142a23348	0x14226a110	0x142269e60	164
CSetIntelligenceAgencyLogoCommand	0x142a2e8e0	0x14226a110	0x142269e60	24
CSetIntelligenceAgencyNameCommand	0x142a2e750	0x14226a110	0x142269e60	24
CSetIntelligenceAgencyRandomHistoricalNameCommand	0x142a2e818	0x14226a110	0x142269e60	24
CSetMPDebugSettings	0x1429e68a0	0x14226a110	0x142269e60	65
CSetMainGarrisonTemplateCommand	0x142995c88	0x14226a110	0x142269e60	24
CSetMaxAllowedRepairDockyards	0x1429b0178	0x14226a110	0x142269e60	24
CSetMaxAllowedRepairFactoriesCommand	0x1429b0240	0x14226a110	0x142269e60	24
CSetNationalFocusCommand	0x142996458	0x14226a110	0x142269e60	24
CSetNavalBaseDisabledForRepairsStateCommand	0x1429b0628	0x14226a110	0x142269e60	24
CSetNavalDeploymentTargetCommand	0x1429941f8	0x14226a110	0x142269e60	24
CSetNavalProductionLineAirWingCompositionCommand	0x142994130	0x14226a110	0x142269e60	24
CSetNavalRegionAccessCommand	0x1429afa70	0x14226a110	0x142269e60	24
CSetNavyEngagementCommand	0x1429b29d8	0x14226a110	0x142269e60	24
CSetNavyTheaterGroupForCommand	0x142a32b80	0x14226a110	0x142269e60	24
CSetNavyTheaterGroupImportantCommand	0x142a32d10	0x14226a110	0x142269e60	1672
CSetNavyTheaterGroupNameCommand	0x142a32c48	0x14226a110	0x142269e60	24
CSetObsoleteDivisionTemplateCommand	0x142a48118	0x14226a110	0x142269e60	24
CSetObsoleteEquipmentVariantCommand	0x142a24700	0x14226a110	0x142269e60	24
CSetOccupationPolicyCommand	0x142995af8	0x14226a110	0x142269e60	24
CSetOperationAutoCommenceCommand	0x142978568	0x14226a110	0x142269e60	24
CSetOperationAutoRepeatCommand	0x142978630	0x14226a110	0x142269e60	24
CSetOperationTargetCommand	0x1429786f8	0x14226a110	0x142269e60	221
CSetOperativeCodenameCommand	0x142a2e368	0x14226a110	0x142269e60	24
CSetOperativeMissionCommand	0x142a2ea70	0x14226a110	0x142269e60	24
CSetOrderGroupCohesionTypeCommand	0x142a0a968	0x14226a110	0x142269e60	24
CSetOrderGroupExecutionTypeCommand	0x142a0a8a0	0x14226a110	0x142269e60	24
CSetOrderGroupIconAndColorCommand	0x142a0a7d8	0x14226a110	0x142269e60	24
CSetOrderGroupLeaderProximityCommand	0x142a0aa30	0x14226a110	0x142269e60	24
CSetOrderGroupMotorizationCommand	0x142a0a710	0x14226a110	0x142269e60	24
CSetOrderGroupNameCommand	0x142a0a580	0x14226a110	0x142269e60	24
CSetOrderGroupOrdersInstanceNamesCommand	0x142a0a648	0x14226a110	0x142269e60	24
CSetOrdersLinkCommand	0x142a0cfb0	0x14226a110	0x142269e60	24
CSetPendingReassignTargetCommand	0x1429b2528	0x14226a110	0x142269e60	24
CSetPinnedStrategicRegionCommand	0x142a87d30	0x14226a110	0x142269e60	84
CSetPlayerAiPrefsCommand	0x142993640	0x14226a110	0x142269e60	24
CSetPreferredTacticCommand	0x142997768	0x14226a110	0x142269e60	24
CSetPrideOfTheFleetCommand	0x1429af9a8	0x14226a110	0x142269e60	24
CSetProductionLineAmountToProduceCommand	0x142994e78	0x14226a110	0x142269e60	24
CSetProductionLineCommand	0x142993af0	0x14226a110	0x142269e60	24
CSetProductionLineConvertCommand	0x142993e10	0x14226a110	0x142269e60	24
CSetProductionLinePriorityCommand	0x142994ce8	0x14226a110	0x142269e60	24
CSetQuickDeployPreferenceCommand	0x142a1ea88	0x14226a110	0x142269e60	191
CSetRandomSeed	0x14296a240	0x14226a110	0x142269e60	24
CSetReadyStatus	0x1429e6580	0x14226a110	0x142269e60	24
CSetResearchCommand	0x142994f40	0x14226a110	0x142269e60	24
CSetScorchedStateCommand	0x1429978f8	0x14226a110	0x142269e60	24
CSetSelectedArmyGroupFallback	0x142a0d140	0x14226a110	0x142269e60	24
CSetShipNameCommand	0x1429b2848	0x14226a110	0x142269e60	24
CSetShipRefitDeploymentTargetCommand	0x1429942c0	0x14226a110	0x142269e60	24
CSetStateGarrisonTemplateCommand	0x142995e18	0x14226a110	0x142269e60	24
CSetStateOverrideOccupationPolicyCommand	0x142995bc0	0x14226a110	0x142269e60	24
CSetSupplyCapitalNodeCommand	0x142997448	0x14226a110	0x142269e60	24
CSetSupplyReinforcementPriorityCommand	0x142995ee0	0x14226a110	0x142269e60	24
CSetSupplyTruckBufferRatioCommand	0x142995fa8	0x14226a110	0x142269e60	24
CSetTaskForceAutoReinforcementCommand	0x1429afe58	0x14226a110	0x142269e60	24
CSetTaskForceCompositionRequirementsCommand	0x1429aff20	0x14226a110	0x142269e60	24
CSetTaskForceIconAndColorCommand	0x1429b0948	0x14226a110	0x142269e60	24
CSetTheaterGroupNameCommand	0x142a32928	0x14226a110	0x142269e60	24
CSetTheaterGroupPriorityCommand	0x142a329f0	0x14226a110	0x142269e60	24
CSetTheatreCommand	0x1429b2078	0x14226a110	0x142269e60	24
CSetTimedActivityDistributionPriorityCommand	0x142996840	0x14226a110	0x142269e60	24
CSetUnitNameCommand	0x1429b2208	0x14226a110	0x142269e60	24
CSetUseDynamicVersionPositioningVariantCommand	0x142a24958	0x14226a110	0x142269e60	157
CSetWingEquipmentNicheCommand	0x142a1dd40	0x14226a110	0x142269e60	24
CSetWingReinforcementPreferenceCommand	0x142a1de08	0x14226a110	0x142269e60	24
CSetWingReinforcementPriorityCommand	0x142a1ded0	0x14226a110	0x142269e60	24
CSetXORResearchCommand	0x1429950d0	0x14226a110	0x142269e60	24
CSettings	0x142724468	0x1401fc6f0	0x1401fb010	1410
CShip	0x142957f28	0x140c3e6c0	0x140c3c5a0	12
CShipCombatReader	0x1429e82f0	0x14012a2c0	0x141664c90	42
CShipRefitDeployment	0x14295fb98	0x140d14990	0x140d12630	9
CShipRefitProductionLine	0x14297c488	0x140f71ff0	0x140f71d40	33
CSong	0x14294c030	0x14012a2c0	0x140b74dd0	44
CSpriteType	0x142b3dd58	0x14012a2c0	0x142241240	225
CStageCoupAction	0x14298dc88	0x141141900	0x14113f480	67
CStandardChatMessage	0x142b49920	0x1422e7930	0x1422e7240	13
CStartFileTransfer	0x142b48ab0	0x14226a110	0x142269e60	24
CStartGameCommand	0x1429e6008	0x14226a110	0x142269e60	24
CStartProjectCommand	0x142a905a0	0x14226a110	0x142269e60	24
CStartStopDecryptionCommand	0x142a2eb38	0x14226a110	0x142269e60	24
CState	0x142936cc0	0x1409e0e90	0x1409dbe00	9
CStateCategory	0x1429ba8d0	0x14012a2c0	0x1413c4d50	9
CStateGarrisonData	0x1429848d8	0x141000700	0x140ffc420	9
CStateHistory	0x1429db900	0x141540ff0	0x1415a15a0	20
CStateHistoryEntry	0x1429db5b8	0x1415a2170	0x1415a17c0	20
CStateManpower	0x14295ebe0	0x1413eb7b0	0x1413eb480	9
CStatePeaceAction	0x1429d2dc0	0x1415200c0	0x14151fa50	35
CStateTemplate	0x1429434d0	0x140abf5d0	0x140abe640	9
CStaticIntelSourcePool	0x14295f0e8	0x1411aeff0	0x1411ae930	9
CStaticIntelSourceReference	0x14295f138	0x14197f390	0x14197f080	9
CStaticModifier	0x142718640	0x140612640	0x1406104f0	9
CStockpiledEquipmentDeleteCommand	0x142a247c8	0x14226a110	0x142269e60	24
CStopProjectCommand	0x142a90668	0x14226a110	0x142269e60	24
CStratAirCancelTransferCommand	0x142a1d7c8	0x14226a110	0x142269e60	24
CStratAirChangeAggressivnessCommand	0x142a1dc78	0x14226a110	0x142269e60	24
CStratAirConsolidateCommand	0x142a1d958	0x14226a110	0x142269e60	24
CStratAirDayNightCommand	0x142a1dbb0	0x14226a110	0x142269e60	24
CStratAirEnableMissionCommand	0x142a1d570	0x14226a110	0x142269e60	24
CStratAirMoveEquipmentCommand	0x142a1da20	0x14226a110	0x142269e60	24
CStratAirMoveEquipmentToReservesCommand	0x142a1dae8	0x14226a110	0x142269e60	24
CStratAirSetMissionCommand	0x142a1d638	0x14226a110	0x142269e60	24
CStratAirSplitCommand	0x142a1d890	0x14226a110	0x142269e60	24
CStratAirTransferCommand	0x142a1d700	0x14226a110	0x142269e60	24
CStrategicAI	0x1427e2088	0x14066b3f0	0x140662630	9
CStrategicAir	0x1429587d8	0x140c66970	0x140c61640	9
CStrategicAirManager	0x142958918	0x140c66c60	0x140c61b60	9
CStrategicLocationTemplate	0x14271b960	0x14012a2c0	0x140abfaa0	9
CStrategicNavy	0x142973290	0x140eb2250	0x140eacaf0	13
CStrategicOperative	0x1429a2358	0x1412025b0	0x1411fedb0	32
CStrategicOperativeManager	0x142973b80	0x140eb36a0	0x140eb3380	20
CStrategicRedeploymentCommand	0x1429b2dc0	0x14226a110	0x142269e60	24
CStrategicRegion	0x14296d558	0x140e24810	0x140e23a90	9
CStrategicRegionTemplate	0x1429dbe50	0x1415a6f40	0x1415a5cc0	85
CStrategicResource	0x142951508	0x14012a2c0	0x140bcc670	9
CSubIntelNetwork	0x1429a1aa8	0x141208490	0x1412073e0	202
CSubUnitCategory	0x142985dc0	0x14012a2c0	0x1424bec40	165
CSubjectRelation	0x142960a08	0x140d2de20	0x140d2b870	23
CSubunitBonusPersistent	0x14295faa8	0x14197fa10	0x14197f890	9
CSunkConvoyInfo	0x142973c28	0x140eb39e0	0x140eb3820	10
CSunkShipInfo	0x142957de8	0x140c2e7d0	0x140c2e300	29
CSupplyConsumer	0x142952ff0	0x140ed0400	0x140eca2e0	28
CSupplySystem	0x142973cf0	0x140ed0450	0x140eca340	100
CSupportAttackCommand	0x1429b1fb0	0x14226a110	0x142269e60	24
CSwitchNavalRepairDockyard	0x1429b0498	0x14226a110	0x142269e60	24
CSystemMessage	0x142a0e8d0	0x1422e7980	0x1422e7280	16
CSystemSettings	0x142b3b9a0	0x14222b100	0x14222ae20	269
CTakeNavyPeaceAction	0x1429d3360	0x141520150	0x14151fac0	200
CTakeStateAction	0x1429d2ee0	0x1415200c0	0x14151fa50	35
CTargetedDecision	0x1427eb520	0x140738d50	0x1407346a0	19
CTaskForce	0x142963150	0x140d7afa0	0x140d75470	13
CTaskForceComposition	0x142973300	0x14198b970	0x14198b630	26
CTaskForceCompositionRequirements	0x142a223c8	0x14198c060	0x14198bf60	25
CTaskForceIdentity	0x1429a3858	0x141b1f1f0	0x141b1ef70	47
CTechnology	0x142974ee0	0x140ee5180	0x140ee16f0	13
CTechnologyPath	0x142944068	0x14012a2c0	0x140ad2bc0	9
CTechnologySharing	0x142721630	0x140d84140	0x140d83bf0	23
CTechnologySharingGroup	0x142721740	0x140ee5e40	0x140ee5c10	19
CTechnologySharingGroupDatabase	0x142943fe0	0x14012a2c0	0x140ac7030	16
CTechnologySharingGroupTemplate	0x142943f30	0x14012a2c0	0x1413d2240	9
CTechnologyStatus	0x142974fa0	0x140ee5430	0x140ee1b60	31
CTerrainGraphics	0x1429c0ef0	0x14012a2c0	0x14143f220	282
CTerrainType	0x1429c0ea0	0x14012a2c0	0x14143f460	9
CTest	0x142737148	0x14012a2c0	0x1402af440	9
CTestBundle	0x142737198	0x14012a2c0	0x1402af6f0	9
CTestLogger	0x1429b3a68	0x14012a2c0	0x1424bec40	10
CTestLoggersArray	0x142737248	0x14012a2c0	0x14136e580	19
CTextBlock	0x14294ac88	0x14012a2c0	0x1422d5c70	13
CTextSpriteType	0x142b52680	0x14012a2c0	0x142361150	25
CTheaterGroup	0x1429e5c50	0x14163aa40	0x14163a850	44
CTheatre	0x142975a48	0x140f025c0	0x140efe2b0	20
CThreatSource	0x1429766e8	0x140f055e0	0x140f04c10	9
CThreatenedAttitude	0x1427e0638	0x14012a2c0	0x1424bec40	18
CTileSpriteType	0x142b52838	0x14012a2c0	0x142361910	33
CTimedActivityEquipmentDistributable	0x142944c28	0x140adcd50	0x140adc3a0	9
CTimedDecision	0x1427eb4b8	0x140738e20	0x1407349c0	12
CTimedEffectActivity	0x142944b50	0x140adcdc0	0x140adc430	19
CTimedIdea	0x14294fd58	0x140bb07d0	0x140bae240	9
CTimedModifier	0x1427d61c8	0x140612730	0x140610770	9
CTimedOpinionModifier	0x14293f728	0x140a82c60	0x140a824e0	9
CTimedStageCoupActivity	0x142944c78	0x140adcdd0	0x140adc440	19
CTimedWargoalActivity	0x142944ab0	0x140adce40	0x140adc6d0	19
CToggleBombingPriorityCommand	0x142a1e380	0x14226a110	0x142269e60	24
CTogglePinnedStrategicRegionCommand	0x142a87ba0	0x14226a110	0x142269e60	24
CToggleStrategicDeploymentCommand	0x1429b1ee8	0x14226a110	0x142269e60	24
CTransferHeadOfCounterIntelAction	0x14298f610	0x141141470	0x14113e7a0	68
CTransferHeadOfCryptologyAction	0x14298f838	0x141141470	0x14113e7a0	68
CTransferHeadOfOperationsAction	0x14298fa60	0x141141470	0x14113e7a0	68
CTransferSpyMasterAction	0x14298f3e8	0x141141470	0x14113e7a0	68
CTransportUnitCommand	0x1429b2cf8	0x14226a110	0x142269e60	24
CTreeSeasonType	0x14296bbf8	0x14012a2c0	0x140df9aa0	9
CTreeShortcut	0x142739b18	0x14012a2c0	0x1402d9470	9
CTriggerAbilityCommand	0x142996b60	0x14226a110	0x142269e60	24
CTriggeredText	0x142999b98	0x14012a2c0	0x141180e60	9
CTutorialChapter	0x142a27928	0x14012a2c0	0x1419ca5c0	9
CTutorialHint	0x142a27a98	0x14012a2c0	0x1419cbb00	9
CUnassignRailwayGunFromOrdersGroup	0x142972a28	0x14226a110	0x142269e60	24
CUnattachScientistCommand	0x142a904d8	0x14226a110	0x142269e60	24
CUnit	0x1429532b0	0x140c06540	0x140c02ae0	13
CUnitAdjuster	0x142789cd0	0x141016b50	0x1410169f0	29
CUnitHistory	0x1429c1868	0x14144cfc0	0x14144b4b0	40
CUnitHistoryEntry	0x1429c1bc8	0x14144f560	0x14144ed30	130
CUnitLeader	0x142955b90	0x14253c3b8	0x14253c3b8	34
CUnitLeaderData	0x14276a620	0x14012a2c0	0x1403b6c70	9
CUnitLeaderSkill	0x1429457f0	0x14012a2c0	0x140aeba20	9
CUnitLeaderTemplate	0x1429c0138	0x14012a2c0	0x141427dc0	351
CUnitLeaderTrait	0x1429457a0	0x14012a2c0	0x140aebc20	9
CUnitMedal	0x1429c17c8	0x14012a2c0	0x14144b920	9
CUnitMedalStore	0x1429c1818	0x14144d130	0x14144ba10	9
CUnitMoveAction	0x1429a3a38	0x141236270	0x141236060	25
CUnitNamesPool	0x1429461b8	0x14012a2c0	0x140af4230	9
CUnitNavalMoveAction	0x1429a3b08	0x141236270	0x141236060	25
CUnitStrategicMoveAction	0x1429a3bd8	0x141236270	0x141236060	68
CUnlockIndustrialOrganisationTrait	0x142967cd8	0x14226a110	0x142269e60	24
CUnlockResearchCommand	0x142995008	0x14226a110	0x142269e60	24
CUpdateDivisionTemplateCommand	0x1429abc38	0x14226a110	0x142269e60	24
CUpdateEquipmentVariantCommand	0x142a24188	0x14226a110	0x142269e60	24
CUpdateLeaderSeenAdvisorRolesCountCommand	0x142a0cee8	0x14226a110	0x142269e60	24
CUpdateLeaderSeenTraitsCountCommand	0x142a0ce20	0x14226a110	0x142269e60	24
CUpdateProfileBadgeCommand	0x142a22c48	0x14226a110	0x142269e60	30
CUpdateSupplyNodeCountrySettingsCommand	0x1429976a0	0x14226a110	0x142269e60	24
CUpgradeDelivery	0x1429d1ed0	0x141510680	0x14150f100	9
CUpgradeDivisionOfficerCommand	0x1429979c0	0x14226a110	0x142269e60	24
CUpgradeLevel	0x1427df298	0x14012a2c0	0x140625ad0	42
CUpgradeShipCaptainCommand	0x142997a88	0x14226a110	0x142269e60	24
CUpgradeWindowOverride	0x14295b7d8	0x14012a2c0	0x140c9b3d0	19
CVariables	0x1427d55a0	0x140bc9280	0x140bc8d70	9
CVolunteerForceTransfer	0x1429d39a8	0x141523660	0x141522170	19
CWarGoal	0x1429e0058	0x1415e0c20	0x1415e08f0	218
CWarGoalType	0x14293bea0	0x14012a2c0	0x140a3b930	9
CWarRelation	0x142960288	0x140d2de80	0x140d2bad0	23
CWarReparationTimedEffect	0x1429dc1e0	0x1415a8ed0	0x1415a8bd0	19
CWarScoreBreakdown	0x142960128	0x14117b070	0x14117ad10	19
CWeatherChancePeriod	0x1429dbe00	0x141a0fa10	0x141a0ee80	9
CWeatherTerrainModifier	0x142977720	0x14012a2c0	0x141a0f330	29
CWithdrawArmyHqCommand	0x1429b2460	0x14226a110	0x142269e60	24
CWorldThreat	0x142976738	0x140f05690	0x140f04cb0	263
H::12::USOnDismantleCompleted::NProject::PEAVCProgram::?$COnDelay	0x142971790	0x140e78790	0x140e777b0	9
H::23::USOnScientistUnassigned::NProject::CProgram::USOnScientistUnnassignInfo::?$COnDelay	0x142971740	0x140e787e0	0x140e77800	9
NAcclimatization::CData	0x1427de000	0x1406167b0	0x140616320	72
NCareerProfile::CCareerProfileMedal	0x1427e5580	0x14012a2c0	0x1406ac220	9
NCareerProfile::CCareerProfileMedal::CTierColors	0x1427e5530	0x14012a2c0	0x1406ac310	9
NCareerProfile::CCareerProfileRibbon	0x1427e5a30	0x14012a2c0	0x1406b0660	9
NCombatLog::CEquipmentLoss	0x14295d568	0x140ce04f0	0x140cddf90	9
NCombatLog::CLoss	0x14295d518	0x140ce0540	0x140cde000	9
NCombatLog::CManager	0x14295d8d8	0x140ce0580	0x140cde050	53
NCombatLog::CManpowerLoss	0x14295d5b8	0x140ce0650	0x140cde2a0	39
NCombatLog::COrdersGroupLogs	0x14295d888	0x140ce0710	0x140cde340	9
NCombatLog::COrdersGroupLogs::CPerTemplateStats	0x14295d838	0x140ce0940	0x140cde7c0	9
NCombatLog::CStatsObserver	0x14295d748	0x140ce0990	0x140cde800	29
NCombatLog::CStatsObserver::CActivityInGroup	0x14295d6f8	0x140ce00d0	0x140cddc50	9
NCountry::CMetadata	0x1427ea7d0	0x14012a2c0	0x140720c10	9
NDLC::CMetadata	0x142936320	0x14012a2c0	0x1409cb9b0	9
NDoctrines::CCountryDoctrineStatus	0x1429653f8	0x1413cf470	0x1413ced70	9
NDoctrines::CDoctrineSystem	0x142965448	0x140d810b0	0x140d7fda0	32
NDoctrines::CFolderStatus	0x1429653a8	0x140fc99f0	0x140fc9020	9
NDoctrines::CMasteryConditions	0x142719258	0x14012a2c0	0x1409e4b30	9
NDoctrines::CMilestoneTemplate	0x1427190f8	0x14012a2c0	0x1409cca50	9
NDoctrines::CRewardTemplate	0x1427192a8	0x14012a2c0	0x1409e5240	9
NDoctrines::CTrackStatus	0x142965358	0x14147cd00	0x14147c2c0	9
NDoctrines::CUnlockGrandDoctrineCommand	0x142a32320	0x14226a110	0x142269e60	24
NDoctrines::CUnlockSubDoctrineCommand	0x142a323e8	0x14226a110	0x142269e60	92
NFactions::CAddFactionGoalCommand	0x142a4a3b8	0x14226a110	0x142269e60	24
NFactions::CAddFactionProgramCommand	0x142a49f08	0x14226a110	0x142269e60	24
NFactions::CAssumeFactionLeadershipAction	0x1429e2518	0x141141470	0x14113e7a0	67
NFactions::CClearFactionTheater	0x142a49be8	0x14226a110	0x142269e60	24
NFactions::CCreateFactionAction	0x1429e2738	0x141617a30	0x1416178c0	67
NFactions::CCreateFactionTheater	0x142a49b20	0x14226a110	0x142269e60	24
NFactions::CDismantleFactionAction	0x1429e31d8	0x141141470	0x14113e7a0	253
NFactions::CDoctrineSharingStatus	0x1429bdd30	0x141be5ff0	0x141be5e90	9
NFactions::CEraseFactionRuleCommand	0x142a49990	0x14226a110	0x142269e60	24
NFactions::CFaction	0x142966208	0x140d8fcf0	0x140d8d880	33
NFactions::CFactionAttachScientistCommand	0x142a4a098	0x14226a110	0x142269e60	24
NFactions::CFactionGoalStatus	0x14293aff8	0x140a299e0	0x140a28300	163
NFactions::CFactionProgramStatus	0x1429661b8	0x141993960	0x1419935c0	9
NFactions::CFactionRuleStatus	0x142a22af8	0x1419966a0	0x141995a40	41
NFactions::CFactionSetCommanderCommand	0x142a4a228	0x14226a110	0x142269e60	24
NFactions::CFactionSystem	0x1429665d8	0x140d94370	0x140d94100	117
NFactions::CFactionTheaterManager	0x142a1f420	0x141951c80	0x141950d50	12
NFactions::CFactionUnattachScientistCommand	0x142a4a160	0x14226a110	0x142269e60	24
NFactions::CFactionUpgradeStatus	0x1429bdd80	0x1413fc350	0x1413fb750	265
NFactions::CJoinFactionAction	0x1429e2958	0x141141470	0x14113e7a0	67
NFactions::CKickFromFactionAction	0x1429e2d98	0x141617a70	0x1416178e0	67
NFactions::CLeaveFactionAction	0x1429e2fb8	0x141141470	0x14113e7a0	67
NFactions::CModifyFactionTheater	0x142a49e40	0x14226a110	0x142269e60	24
NFactions::COfferJoinFactionAction	0x1429e2b78	0x141617a80	0x1416178f0	67
NFactions::CRemoveFactionProgramCommand	0x142a49fd0	0x14226a110	0x142269e60	24
NFactions::CRemoveIntelligenceAdvisorFromSlotCommand	0x142a4a548	0x14226a110	0x142269e60	340
NFactions::CSetFactionIconAndColor	0x142a4a2f0	0x14226a110	0x142269e60	24
NFactions::CSetFactionPingExecutionType	0x1429ac870	0x14226a110	0x142269e60	24
NFactions::CSetFactionRuleCommand	0x142a498c8	0x14226a110	0x142269e60	24
NFactions::CSetFactionTheaterPinVisibility	0x142a49cb0	0x14226a110	0x142269e60	24
NFactions::CSetFactionUpgradeCommand	0x142a49a58	0x14226a110	0x142269e60	24
NFactions::CTechnologySharingFaction	0x142a4ec20	0x141be6800	0x141be6520	124
NFactions::CUnlockFolderDoctrineSharingCommand	0x142a49d78	0x14226a110	0x142269e60	24
NFactions::CUpdateIntelligenceAdvisorSlotCommand	0x142a4a480	0x14226a110	0x142269e60	24
NFactions::CUseFactionMemberManpower	0x1429ac938	0x14226a110	0x142269e60	27
NIndustrialOrganisation::CAiBonusWeightList	0x1427df758	0x14012a2c0	0x140628f60	53
NIndustrialOrganisation::COrganisation	0x142967a28	0x140dbccc0	0x140dbb350	10
NIndustrialOrganisation::CPolicy	0x14293c9a0	0x140a4c0f0	0x140a4be20	177
NIndustrialOrganisation::CTask	0x1427e74d8	0x14012a2c0	0x1424bec40	9
NIndustrialOrganisation::CTraitBonus	0x142718c58	0x140641810	0x1406416b0	71
NInternationalMarket::CCancelEquipmentPurchaseAction	0x142a36f48	0x141aa4f50	0x141aa4ec0	121
NInternationalMarket::CEquipmentConvoyClient	0x14296b6b0	0x1419d7490	0x1419d72b0	19
NInternationalMarket::CEquipmentPurchaseRelation	0x142a21bb8	0x140d2daa0	0x140d2b100	24
NInternationalMarket::CMarketAccessRightsRelation	0x142a21c80	0x140d2daa0	0x140d2b100	147
NInternationalMarket::CMarketStockpileClearCommand	0x142ab6d08	0x14226a110	0x142269e60	24
NInternationalMarket::CMarketStockpileEquipmentTransferCommand	0x142a3f9c0	0x14226a110	0x142269e60	39
NInternationalMarket::COverrideMarketEquipmentPriceLevelsCommand	0x142a3f820	0x14226a110	0x142269e60	25
NInternationalMarket::CPurchaseContract	0x14296b750	0x142220340	0x14221fc10	109
NInternationalMarket::CPurchaseRequest	0x142a28ed0	0x142220340	0x14221fc10	47
NInternationalMarket::CRequestEquipmentPurchaseAction	0x142a37318	0x141aa6a30	0x141aa6860	120
NInternationalMarket::CRequestMarketAccessRightsAction	0x142749510	0x1413b2490	0x1413b2440	67
NInternationalMarket::CScriptEquipmentAmountEntry	0x142749ae0	0x14012a2c0	0x140308570	43
NInternationalMarket::CSetMarketRequestAutomationOptionsCommand	0x142a3f8f0	0x14226a110	0x142269e60	25
NOperativeMissions::CBoostIdeology	0x142a1f5e8	0x141953d00	0x141953b30	81
NOperativeMissions::CBuildIntelNetwork	0x142a1f878	0x141a31840	0x141a31500	58
NOperativeMissions::CControlTrade	0x142a1fb00	0x141a328b0	0x141a32890	51
NOperativeMissions::CCounterIntelligence	0x142a1fca0	0x141a328b0	0x141a32890	43
NOperativeMissions::CCountryBased	0x142a1fa50	0x141a328b0	0x141a32890	21
NOperativeMissions::CDiplomaticPressure	0x142a1fe00	0x141a328b0	0x141a32890	56
NOperativeMissions::CNetworkBased	0x142a1f538	0x141a31840	0x141a31500	21
NOperativeMissions::CNoMission	0x142980430	0x14012a2c0	0x1424bec40	161
NOperativeMissions::CPropaganda	0x142a295a8	0x141a31840	0x141a31500	250
